Model Number,CEC Listing Date,year
CHSM72P-HC-340,01.05.2019,2019
CHSM60M-HC-345,12.10.2020,2020
CHSM6612M(BL)-345,,1900
CHSM6612M/HV-345,,1900
CHSM6612M-345,,1900
CHSM6612P/HV-345,,1900
CHSM6612P-345,,1900
CHSM72M-HC-345,01.05.2019,2019
CHSM72P-HC-345,01.05.2019,2019
CHSM60M-HC-350,12.10.2020,2020
CHSM6612M(BL)-350,,1900
CHSM6612M/HV-350,,1900
CHSM6612M-350,,1900
CHSM6612P/HV-350,,1900
CHSM72M-HC-350,01.05.2019,2019
CHSM72P-HC-350,01.05.2019,2019
CHSM60M-HC-355,12.10.2020,2020
CHSM6612M(BL)-355,,1900
CHSM6612M/HV-355,,1900
CHSM6612M-355,,1900
CHSM6612P/HV-355,,1900
CHSM72M-HC-355,01.05.2019,2019
CHSM72P-HC-355,01.05.2019,2019
CHSM60M-HC-360,12.10.2020,2020
CHSM6612M(BL)-360,,1900
CHSM6612M/HV-360,,1900
CHSM6612M-360,,1900
CHSM72M-HC-360,01.05.2019,2019
CHSM72P-HC-360,01.05.2019,2019
CHSM60M-HC-365,12.10.2020,2020
CHSM6612M/HV-365,15.02.2019,2019
CHSM6612M-365,15.02.2019,2019
CHSM72M-HC-365,01.05.2019,2019
CHSM72P-HC-365,01.05.2019,2019
CHSM60M-HC-370,12.10.2020,2020
CHSM6612M/HV-370,15.02.2019,2019
CHSM6612M-370,15.02.2019,2019
CHSM72M-HC-370,01.05.2019,2019
CHSM72P-HC-370,01.05.2019,2019
CHSM60M-HC-375,12.10.2020,2020
CHSM6612M/HV-375,15.02.2019,2019
CHSM6612M-375,15.02.2019,2019
CHSM72M-HC-375,01.05.2019,2019
CHSM60M-HC-380,12.10.2020,2020
CHSM6612M/HV-380,15.02.2019,2019
CHSM6612M-380,15.02.2019,2019
CHSM72M-HC-380,01.05.2019,2019
CHSM72M-HC-385,01.05.2019,2019
CHSM72M-HC-390,01.05.2019,2019
CHSM72M(DG)/F-BH-395,01.07.2020,2020
CHSM72M-HC-395,13.01.2020,2020
CHSM72M(DG)/F-BH-400,01.07.2020,2020
CHSM72M-HC-400,13.01.2020,2020
CHSM72M(DG)/F-BH-405,01.07.2020,2020
CHSM72M-HC-405,13.01.2020,2020
CHSM72M(DG)/F-BH-410,01.07.2020,2020
CHSM72M-HC-410,13.01.2020,2020
CHSM72M(DG)/F-BH-415,01.07.2020,2020
CHSM72M-HC-415,13.01.2020,2020
CHSM72M(DG)/F-BH-420,01.07.2020,2020
CHSM72M-HC-420,13.01.2020,2020
CHSM72M(DG)/F-BH-425,01.07.2020,2020
CHSM72M-HC-425,13.01.2020,2020
CHSM72M(DG)/F-BH-430,01.07.2020,2020
CHSM72M-HC-430,13.01.2020,2020
CHSM72M(DG)/F-BH-435,01.07.2020,2020
CHSM72M-HC-435,22.03.2021,2021
CHSM72M(DG)/F-BH-440,01.07.2020,2020
CHSM72M-HC-440,22.03.2021,2021
CHSM72M(DG)/F-BH-445,01.07.2020,2020
CHSM72M-HC-445,22.03.2021,2021
CHSM72M(DG)/F-BH-450,01.07.2020,2020
CHSM72M-HC-450,22.03.2021,2021
CHSM72M-HC-455,22.03.2021,2021
CHSM72M(DG)/F-BH-515,23.08.2021,2021
CHSM72M(DG)/F-BH-520,23.08.2021,2021
CHSM72M-HC-520,23.08.2021,2021
CHSM72M(DG)/F-BH-525,23.08.2021,2021
CHSM72M-HC-525,23.08.2021,2021
CHSM72M(DG)/F-BH-530,23.08.2021,2021
CHSM72M-HC-530,23.08.2021,2021
CHSM72M(DG)/F-BH-535,23.08.2021,2021
CHSM72M-HC-535,23.08.2021,2021
CHSM72M(DG)/F-BH-540,23.08.2021,2021
CHSM72M-HC-540,23.08.2021,2021
CHSM72M(DG)/F-BH-545,23.08.2021,2021
CHSM72M-HC-545,23.08.2021,2021
CHSM72M(DG)/F-BH-550,23.08.2021,2021
CHSM72M-HC-550,23.08.2021,2021
CHSM72M(DG)/F-BH-555,23.08.2021,2021
CHSM72M(DG)/F-BH-560,23.08.2021,2021
CHSM66M(DG)/F-BH-635,23.08.2021,2021
CHSM66M(DG)/F-BH-640,23.08.2021,2021
CHSM66M(DG)/F-BH-645,23.08.2021,2021
CHSM66M-HC-645,23.08.2021,2021
CHSM66M(DG)/F-BH-650,23.08.2021,2021
CHSM66M-HC-650,23.08.2021,2021
CHSM66M(DG)/F-BH-655,23.08.2021,2021
CHSM66M-HC-655,23.08.2021,2021
CHSM66M(DG)/F-BH-660,23.08.2021,2021
CHSM66M-HC-660,23.08.2021,2021
CHSM66M(DG)/F-BH-665,23.08.2021,2021
CHSM66M-HC-665,23.08.2021,2021
CHSM66M(DG)/F-BH-670,23.08.2021,2021
CHSM66M-HC-670,23.08.2021,2021
CHSM66M(DG)/F-BH-675,23.08.2021,2021
CHSM66M-HC-675,23.08.2021,2021
CS6P-200P,,1900
CS6P-200PX,,1900
CS6P-205M,,1900
CS6P-205P,,1900
CS6P-205PX,,1900
CS6P-210M,,1900
CS6P-210P,,1900
CS6P-210PX,,1900
CS6P-215M,,1900
CS6P-215P,,1900
CS6P-215PX,,1900
CS6P-220M,,1900
CS6P-220P,,1900
CS6P-220PX,,1900
CS6P-225P,,1900
CS6P-225PX,,1900
CS6P-230M,,1900
CS6P-230MX,,1900
CS6P-230P,,1900
CS6P-230PX,,1900
CS6P-235M,,1900
CS6P-235MX,,1900
CS6P-235P,,1900
CS6P-235PX,,1900
CS6P-240M,,1900
CS6P-240MX,,1900
CS6P-240P,,1900
CS6P-240PX,,1900
CS6P-245M,,1900
CS6P-245MX,,1900
CS6P-245P,,1900
CS6P-245PX,,1900
CS6P-250M,,1900
CS6P-250MX,,1900
CS6P-250P,,1900
CS6P-250PX,,1900
CS6PH-250P,22.02.2021,2021
CS6P-255M,,1900
CS6P-255MX,,1900
CS6P-255P,,1900
CS6P-255PX,,1900
CS6PH-255P,22.02.2021,2021
CS6X-255P,,1900
CS6P-260M,,1900
CS6P-260MX,,1900
CS6P-260P,,1900
CS6P-260PX,,1900
CS6PH-260P,22.02.2021,2021
CS6X-260P,,1900
CS6P-265M,,1900
CS6P-265MX,,1900
CS6P-265P,,1900
CS6P-265PX,,1900
CS6PH-265P,22.02.2021,2021
CS6X-265P,,1900
CS6P-270M,,1900
CS6P-270MX,,1900
CS6P-270P,,1900
CS6PH-270P,22.02.2021,2021
CS6X-270P,,1900
CS6P-275M,,1900
CS6P-275MX,,1900
CS6P-275P,,1900
CS6PH-275P,22.02.2021,2021
CS6X-275P,,1900
CS6P-280M,,1900
CS6P-280MX,,1900
CS6PH-280M,01.03.2021,2021
CS6PH-280P,22.02.2021,2021
CS6X-280P,,1900
CS6P-285M,,1900
CS6P-285MX,,1900
CS6PH-285M,01.03.2021,2021
CS6X-285P,,1900
CS3K-290MS,01.09.2017,2017
CS6PH-290M,01.03.2021,2021
CS6X-290P,,1900
CS3K-295MS,01.09.2017,2017
CS6PH-295M,01.03.2021,2021
CS6X-295P,,1900
CS3K-300MS,01.09.2017,2017
CS6PH-300M,01.03.2021,2021
CS6X-300P,,1900
CS6XH-300P,22.02.2021,2021
CS3K-305MS,01.09.2017,2017
CS6PH-305M,01.03.2021,2021
CS6X-305P,,1900
CS6XH-305P,22.02.2021,2021
CS1H-310MS,02.01.2019,2019
CS3K-310MS,01.09.2017,2017
CS3U-310P-AG,15.06.2018,2018
CS6PH-310M,01.03.2021,2021
CS6X-310P,,1900
CS6XH-310P,22.02.2021,2021
CS1H-315MS,02.01.2019,2019
CS3K-315MS,01.09.2017,2017
CS3L-315PB-AG,17.06.2019,2019
CS3U-315P-AG,15.06.2018,2018
CS6X-315P,,1900
CS6XH-315P,22.02.2021,2021
CS1H-320MS,02.01.2019,2019
CS3K-320MS,03.09.2019,2019
CS3L-320P,11.12.2019,2019
CS3L-320PB-AG,17.06.2019,2019
CS3U-320P,,1900
CS3U-320P-AG,15.06.2018,2018
CS6X-320P,,1900
CS6XH-320P,22.02.2021,2021
CS1H-325MS,02.01.2019,2019
CS3K-325MS,03.09.2019,2019
CS3L-325P,11.12.2019,2019
CS3L-325PB-AG,17.06.2019,2019
CS3U-325P,,1900
CS3U-325P-AG,15.06.2018,2018
CS6X-325P,,1900
CS6XH-325P,22.02.2021,2021
CS1H-330MS,02.01.2019,2019
CS3K-330MS,03.09.2019,2019
CS3L-330P,11.12.2019,2019
CS3L-330PB-AG,17.06.2019,2019
CS3U-330P,,1900
CS3U-330P-AG,15.06.2018,2018
CS6X-330P,,1900
CS6XH-330P,22.02.2021,2021
CS1H-335MS,02.01.2019,2019
CS3K-335MS,02.12.2019,2019
CS3L-335P,11.12.2019,2019
CS3L-335PB-AG,17.06.2019,2019
CS3U-335P,,1900
CS3U-335P-AG,15.06.2018,2018
CS6XH-335P,22.02.2021,2021
CS1H-340MS,02.01.2019,2019
CS3L-340P,11.12.2019,2019
CS3L-340PB-AG,17.06.2019,2019
CS3U-340P,,1900
CS3U-340P-AG,15.06.2018,2018
CS6XH-340P,22.02.2021,2021
CS3L-345MS,11.03.2021,2021
CS3L-345P,11.12.2019,2019
CS3L-345PB-AG,17.06.2019,2019
CS3U-345P,,1900
CS3U-345P-AG,15.06.2018,2018
CS3U-345PB-AG,15.11.2018,2018
CS6XH-345M,01.03.2021,2021
CS6XH-345P,22.02.2021,2021
CS3L-350MS,01.02.2021,2021
CS3L-350P,11.12.2019,2019
CS3U-350MB-AG,15.11.2018,2018
CS3U-350MS,01.09.2017,2017
CS3U-350MS-AG,15.06.2018,2018
CS3U-350P,,1900
CS3U-350P-AG,15.06.2018,2018
CS3U-350PB-AG,15.11.2018,2018
CS6XH-350M,01.03.2021,2021
CS3L-355MS,01.02.2021,2021
CS3L-355P,11.12.2019,2019
CS3U-355MB-AG,15.11.2018,2018
CS3U-355MS,01.09.2017,2017
CS3U-355MS-AG,15.06.2018,2018
CS3U-355P,15.02.2018,2018
CS3U-355PB-AG,15.11.2018,2018
CS6XH-355M,01.03.2021,2021
CS3L-360MS,01.02.2021,2021
CS3L-360P,11.12.2019,2019
CS3U-360MB-AG,15.11.2018,2018
CS3U-360MS,01.09.2017,2017
CS3U-360MS-AG,15.06.2018,2018
CS3U-360P,15.02.2018,2018
CS3U-360PB-AG,15.11.2018,2018
CS6XH-360M,01.03.2021,2021
CS3L-365MS,01.02.2021,2021
CS3L-365P,11.12.2019,2019
CS3U-365MB-AG,15.11.2018,2018
CS3U-365MS,01.09.2017,2017
CS3U-365MS-AG,15.06.2018,2018
CS3U-365P,01.03.2019,2019
CS3U-365PB-AG,15.11.2018,2018
CS6XH-365M,01.03.2021,2021
CS3L-370MS,01.02.2021,2021
CS3L-370P,11.09.2020,2020
CS3U-370MB-AG,15.11.2018,2018
CS3U-370MS,01.09.2017,2017
CS3U-370MS-AG,15.06.2018,2018
CS3U-370P,01.03.2019,2019
CS3U-370PB-AG,15.11.2018,2018
CS6XH-370M,01.03.2021,2021
CS3L-375MS,01.02.2021,2021
CS3L-375P,11.09.2020,2020
CS3N-375MS,01.07.2021,2021
CS3U-375MB-AG,15.11.2018,2018
CS3U-375MS,01.09.2017,2017
CS3U-375MS-AG,15.06.2018,2018
CS3U-375P,01.03.2019,2019
CS3U-375PB-AG,03.09.2019,2019
CS6XH-375M,01.03.2021,2021
CS1Y-380MS,11.01.2021,2021
CS3L-380MS,01.02.2021,2021
CS3N-380MS,01.07.2021,2021
CS3U-380MB-AG,15.11.2018,2018
CS3U-380MS,01.09.2017,2017
CS3U-380P,01.03.2019,2019
CS3U-380PB-AG,03.09.2019,2019
CS3W-380P,02.01.2019,2019
CS3W-380PB-AG,17.06.2019,2019
CS1Y-385MS,11.01.2021,2021
CS3L-385MS,01.02.2021,2021
CS3N-385MS,01.04.2021,2021
CS3U-385MB-AG,01.11.2019,2019
CS3U-385MS,03.09.2019,2019
CS3U-385P,01.03.2019,2019
CS3U-385PB-AG,03.09.2019,2019
CS3W-385P,02.01.2019,2019
CS3W-385PB-AG,17.06.2019,2019
CS1Y-390MS,11.01.2021,2021
CS3L-390MS,13.09.2021,2021
CS3N-390MS,01.04.2021,2021
CS3U-390MB-AG,01.11.2019,2019
CS3U-390MS,03.09.2019,2019
CS3U-390P,01.03.2019,2019
CS3W-390P,02.01.2019,2019
CS3W-390PB-AG,17.06.2019,2019
CS1Y-395MS,11.01.2021,2021
CS3N-395MS,01.04.2021,2021
CS3U-395MB-AG,11.12.2019,2019
CS3U-395MS,03.09.2019,2019
CS3U-395P,01.03.2019,2019
CS3W-395P,02.01.2019,2019
CS3W-395PB-AG,17.06.2019,2019
CS1Y-400MS,11.01.2021,2021
CS3N-400MS,22.02.2021,2021
CS3U-400MB-AG,11.12.2019,2019
CS3U-400MS,02.12.2019,2019
CS3W-400P,02.01.2019,2019
CS3W-400PB-AG,17.06.2019,2019
CS1Y-405MS,11.01.2021,2021
CS3N-405MS,22.02.2021,2021
CS3U-405MB-AG,11.12.2019,2019
CS3U-405MS,02.12.2019,2019
CS3W-405P,02.01.2019,2019
CS3W-405PB-AG,17.06.2019,2019
CS1Y-410MS,11.01.2021,2021
CS3N-410MS,22.02.2021,2021
CS3U-410MS,02.12.2019,2019
CS3W-410P,01.11.2019,2019
CS3W-410PB-AG,17.06.2019,2019
CS1Y-415MS,11.01.2021,2021
